dataset,config,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
interaction,top-1,123,0.6694526017671981,0.588353095390483,0.9203802285593661,0.928208545220267,0.5714811986864456,0.5576456144892522,0.044293480925261974,0.0002629240043461323
interaction,top-2,123,0.30422650282409164,0.294496752378358,0.9638175360629028,0.9640652009026702,0.41731784597529575,0.4250187683057295,0.13060520694125444,0.0003854939714074135
interaction,top-3,123,0.30422650282409164,0.294496752378358,0.9638175360629028,0.9640652009026702,0.41731784597529575,0.4250187683057295,0.19140557502396405,0.00037499505560845137
interaction,top-5,123,0.30422650282409164,0.294496752378358,0.9638175360629028,0.9640652009026702,0.41731784597529575,0.4250187683057295,0.3118493970250711,0.00037715898361057043
interaction,top-1,456,0.543033130332439,0.6189244429902296,0.9325213013329574,0.9249724852622085,0.5246831427255085,0.5353514179643867,0.04529750801157206,0.00026846397668123245
interaction,top-2,456,0.4279559261460614,0.45780828529430917,0.9468210918079594,0.9445033747478866,0.4630000012393612,0.4798257353277859,0.11906503199134022,0.00036671897396445274
interaction,top-3,456,0.4279559261460614,0.45780828529430917,0.9468210918079594,0.9445033747478866,0.4630000012393612,0.4798257353277859,0.17475112003739923,0.0003613990265876055
interaction,top-5,456,0.4279559261460614,0.45780828529430917,0.9468210918079594,0.9445033747478866,0.4630000012393612,0.4798257353277859,0.285573091940023,0.00036846299190074205
interaction,top-1,789,0.5395998740639881,0.39130098647980777,0.9358755055474022,0.9511709752158544,0.513180714430645,0.4863793942614719,0.054385854047723114,0.0003077279543504119
interaction,top-2,789,0.44576402683962996,0.39483340174678894,0.9470266872915247,0.950730177981554,0.47695609302401715,0.46813797341595753,0.11905704601667821,0.00034564000088721514
interaction,top-3,789,0.44576402683962996,0.39483340174678894,0.9470266872915247,0.950730177981554,0.47695609302401715,0.46813797341595753,0.17511964205186814,0.00033598195295780897
interaction,top-5,789,0.44576402683962996,0.39483340174678894,0.9470266872915247,0.950730177981554,0.47695609302401715,0.46813797341595753,0.28638910490553826,0.00034416699782013893
interaction,top-1,1024,0.5086876759267446,0.6014981929737171,0.9383234870321218,0.9243710405888743,0.49742247157502506,0.5216978215834063,0.05153967603109777,0.0003096609143540263
interaction,top-2,1024,0.28252348661495297,0.33127610131591095,0.9657450645837021,0.958347228448961,0.41854743405920386,0.43157383643929265,0.12822656694334,0.0003709570737555623
interaction,top-3,1024,0.28252348661495297,0.33127610131591095,0.9657450645837021,0.958347228448961,0.41854743405920386,0.43157383643929265,0.18920460902154446,0.0003552479902282357
interaction,top-5,1024,0.28252348661495297,0.33127610131591095,0.9657450645837021,0.958347228448961,0.41854743405920386,0.43157383643929265,0.30978209094610065,0.00036953494418412447
regime,top-1,42,2.5423443656455085,2.838291275470573,0.3425893776830048,0.26705080962854677,1.3611158559651904,1.4395973803017712,0.04978967795614153,0.00026528805028647184
regime,top-2,42,0.30563546356525034,0.28829712327163365,0.920967433436753,0.9255512832969092,0.4270666154670331,0.40954619450544955,0.11246308602858335,0.0003148620016872883
regime,top-3,42,0.3044957513446361,0.2883698182071586,0.921262145250912,0.9255325108422998,0.4259737285355866,0.4092976960749704,0.16829972597770393,0.0003352399216964841
regime,top-5,42,0.3043583071873277,0.2912681190664622,0.9212976861674813,0.9247840650127126,0.42589964772621647,0.4127174452473383,0.2768974680220708,0.0003024779725819826
regime,top-1,123,2.1538911951276978,2.187396224311556,0.4138237590898589,0.40580398720240185,1.2219630459792283,1.2308166151078288,0.05400353600271046,0.0003070670645684004
regime,top-2,123,0.374291592289468,0.4093864818180785,0.8981374551004171,0.8887920658882462,0.4510589112591864,0.46928508538303426,0.11554851394612342,0.0003229370340704918
regime,top-3,123,0.37394429581331146,0.41141663765205255,0.8982319709902332,0.8882405834963055,0.4511569193945854,0.4695076817919827,0.16710044199135154,0.00031887891236692667
regime,top-5,123,0.3728214386002527,0.4135422915290925,0.898537553844984,0.8876631595050384,0.4491580488914938,0.47077993425909265,0.2706475449958816,0.0003025189507752657
regime,top-1,456,2.6792895510930426,2.6734877361169174,0.2959107654683678,0.28005557010728155,1.4172356241373063,1.4161751596580658,0.049779959954321384,0.0002675120485946536
regime,top-2,456,0.3788853000767023,0.36785982848797105,0.9004329111060572,0.900938900551731,0.4546313450471175,0.4471401331042915,0.11455043696332723,0.0003098630113527179
regime,top-3,456,0.3783536612880815,0.3672476443349054,0.9005726202119934,0.9011037558323871,0.4544555386851805,0.44644028277707476,0.1703458810225129,0.0003169659757986665
