dataset,model,seed,train_mse,test_mse,train_r2,test_r2,train_mae,test_mae,fit_time_s,predict_time_s
irrelevant,RandomForest,789,4.4715187804516265,4.639416723758382,0.8875639698913136,0.8691713674100123,1.6338468573048035,1.6716868347813978,4.110074100026395,0.014940099965315312
irrelevant,GradientBoosting,789,0.24536734650775155,0.45333222557803154,0.993830255062275,0.9872163164654665,0.3962711112501178,0.5252908452423662,7.44284830003744,0.0028558000340126455
irrelevant,RHM (original),789,0.260789461209062,0.29867340381698215,0.9934424670559991,0.9915775979311644,0.4045443299426123,0.43528157966605396,1.1229568000417203,1.5536535999854095
irrelevant,"ACGMT (top1, no-std)",789,0.260789461209062,0.29867340381698215,0.9934424670559991,0.9915775979311644,0.4045443299426123,0.43528157966605396,0.5204074999783188,0.0030396999791264534
irrelevant,"ACGMT (top3, std)",789,0.2586887318750032,0.2940502041290336,0.9934952897496412,0.991707969253548,0.40180509630900657,0.4345226087158262,1.3958617000025697,0.0020309999817982316
irrelevant,ACGMT (full),789,0.2877221442306092,0.31077957254383115,0.9927652466063486,0.9912362115900051,0.4210170093039519,0.44264604636988847,2.2248191999970004,0.0018934999825432897
irrelevant,Ridge,1024,1.642871995029693,1.9229620186107237,0.9574727428097028,0.9548840125612013,0.8941237401766421,0.9786781044394502,0.003719799977261573,0.0003978000022470951
irrelevant,CART,1024,7.041067135794594,7.423180743125702,0.8177354815932123,0.8258394466861341,2.1055318551890823,2.1710272917443643,0.054230099951382726,0.0005441000103019178
irrelevant,RandomForest,1024,4.733341975154456,4.9250801023140705,0.8774730763224285,0.8844491727446538,1.661336393313072,1.7156926244105186,3.7457672000164166,0.014279299997724593
irrelevant,GradientBoosting,1024,0.2353006109739386,0.4263123203493773,0.9939090266130308,0.9899979817054404,0.38660593563014817,0.5051844322824903,6.267050700029358,0.003817699966020882
irrelevant,RHM (original),1024,0.25004117690054123,0.32076391617918326,0.9935274534654042,0.9924743283158473,0.3984742180553437,0.44491343109135423,1.5280725000193343,1.886193500016816
